symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,balance_after
BTCUSDT,SHORT,87961.2,87256.22969861775,0.1418499471593759,88313.68515069112,87256.22969861775,50.0,100.0,24.85458314,75.14541686,WIN,TAKE_PROFIT,10075.14541686
BTCUSDT,SHORT,86978.7,86245.72127522044,0.1374548138472932,87345.18936238978,86245.72127522044,50.375727084299996,100.75145417,23.81053058,76.94092359,WIN,TAKE_PROFIT,10152.08634045
BTCUSDT,SHORT,85301.1,84248.96975556185,0.09649077568216154,85827.16512221908,84248.96975556185,50.760431702249996,101.5208634,16.36001775,85.16084566,WIN,TAKE_PROFIT,10237.24718611
SOLUSDT,SHORT,117.92,119.38930274624073,34.837092669643674,119.38930274624073,114.98139450751856,51.18623593055,-51.18623593,8.26716617,-59.4534021,LOSS,STOP_LOSS,10177.79378401
ETHUSDT,SHORT,2838.8,2779.1224854338107,1.7054654266342857,2868.638757283095,2779.1224854338107,50.888968920050004,101.77793784,9.58117257,92.19676527,WIN,TAKE_PROFIT,10269.99054928
ETHUSDT,SHORT,2802.8,2739.266317873832,1.6164639299333217,2834.566841063084,2739.266317873832,51.34995274640001,102.69990549,8.9585503,93.74135519,WIN,TAKE_PROFIT,10363.73190447
BTCUSDT,SHORT,81988.5,82723.97338183702,0.07045619977832616,82723.97338183702,80517.55323632597,51.81865952235001,-51.81865952,11.60501493,-63.42367445,LOSS,STOP_LOSS,10300.30823002
BTCUSDT,SHORT,82983.6,83708.31539473559,0.0710645054930714,83708.31539473559,81534.16921052885,51.50154115010001,-51.50154115,11.84587854,-63.34741969,LOSS,STOP_LOSS,10236.96081033
ETHUSDT,SHORT,2736.37,2681.9893645294087,1.8824643591864842,2763.5603177352955,2681.9893645294087,51.184804051650005,102.3696081,10.19986839,92.16973971,WIN,TAKE_PROFIT,10329.13055004
BTCUSDT,SHORT,82468.3,83287.66531857589,0.06303128968158367,83287.66531857589,80829.56936284823,51.64565275020001,-51.64565275,10.44781227,-62.09346502,LOSS,STOP_LOSS,10267.03708502
BTCUSDT,LONG,83897.3,82968.14061816671,0.05524906321648746,82968.14061816671,85755.61876366659,51.33518542510001,-51.33518543,9.21915928,-60.5543447,LOSS,STOP_LOSS,10206.48274032
BTCUSDT,SHORT,82754.4,83094.46935715452,0.15006472246898309,83094.46935715452,82074.26128569094,51.03241370160001,-51.0324137,24.88806455,-75.92047825,LOSS,STOP_LOSS,10130.56226207
BTCUSDT,SHORT,83031.1,82287.38547957016,0.13621573848275687,83402.95726021493,82287.38547957016,50.65281131035001,101.30562262,22.51897958,78.78664304,WIN,TAKE_PROFIT,10209.34890511
BTCUSDT,SHORT,81568.6,82055.78095294164,0.10477984456766341,82055.78095294164,80594.23809411675,51.04674452555001,-51.04674453,17.1445372,-68.19128173,LOSS,STOP_LOSS,10141.15762338
BTCUSDT,SHORT,81078.5,79583.66722412923,0.0678414186996441,81825.91638793539,79583.66722412923,50.70578811690001,101.41157623,10.89954936,90.51202688,WIN,TAKE_PROFIT,10231.66965026
BTCUSDT,SHORT,78817.1,76826.24274468365,0.05139328609792351,79812.52862765818,76826.24274468365,51.15834825130001,102.3166965,7.99902284,94.31767366,WIN,TAKE_PROFIT,10325.98732392
BTCUSDT,SHORT,77518.8,78784.481457395,0.04079220432435161,78784.481457395,74987.43708521,51.62993661960001,-51.62993662,6.37595539,-58.00589201,LOSS,STOP_LOSS,10267.98143191
BTCUSDT,SHORT,78310.9,79146.59529282188,0.06143376371810209,79146.59529282188,76639.50941435622,51.33990715955001,-51.33990716,9.67320656,-61.01311372,LOSS,STOP_LOSS,10206.96831819
BTCUSDT,SHORT,78334.0,78821.10419132053,0.10477192046448124,78821.10419132053,77359.79161735895,51.03484159095001,-51.03484159,16.46544208,-67.50028367,LOSS,STOP_LOSS,10139.46803452
ETHUSDT,SHORT,2410.65,2355.771580690397,1.8476239224962068,2438.0892096548014,2355.771580690397,50.69734017260001,101.39468035,8.80655454,92.58812581,WIN,TAKE_PROFIT,10232.05616033
BTCUSDT,SHORT,77812.9,78278.40578730352,0.10990256662113632,78278.40578730352,76881.88842539294,51.16028080165,-51.1602808,17.15483513,-68.31511593,LOSS,STOP_LOSS,10163.7410444
BTCUSDT,SHORT,78179.4,77041.01042801738,0.08928174760683133,78748.5947859913,77041.01042801738,50.818705222000006,101.63741044,13.85834951,87.77906094,WIN,TAKE_PROFIT,10251.52010534
BTCUSDT,SHORT,76961.7,77609.62713690066,0.07911013076545728,77609.62713690066,75665.84572619866,51.25760052670001,-51.25760053,12.2281579,-63.48575843,LOSS,STOP_LOSS,10188.03434691
BTCUSDT,SHORT,77563.8,78261.3718680419,0.07302498003186426,78261.3718680419,76168.6562639162,50.940171734550006,-50.94017173,11.37913006,-62.3193018,LOSS,STOP_LOSS,10125.71504511
BTCUSDT,SHORT,77705.2,76393.3059590874,0.0771839396272143,78361.1470204563,76393.3059590874,50.62857522555,101.25715045,11.89392978,89.36322067,WIN,TAKE_PROFIT,10215.07826578
BTCUSDT,SHORT,76489.0,77236.38831861551,0.06833849293164385,77236.38831861551,74994.22336276896,51.075391328900004,-51.07539133,10.50536136,-61.58075269,LOSS,STOP_LOSS,10153.49751309
BTCUSDT,SHORT,77158.9,78024.34298901031,0.058660695401213096,78024.34298901031,75428.01402197935,50.767487565450004,-50.76748757,9.10315695,-59.87064451,LOSS,STOP_LOSS,10093.62686858
ETHUSDT,SHORT,2291.44,2190.022271004397,0.9952527007400863,2342.1488644978017,2190.022271004397,50.4681343429,100.93626869,4.46018743,96.47608126,WIN,TAKE_PROFIT,10190.10294984
BTCUSDT,SHORT,75045.8,76053.21460105701,0.050575517463952745,76053.21460105701,73030.97079788598,50.9505147492,-50.95051475,7.64191085,-58.5924256,LOSS,STOP_LOSS,10131.51052424
BTCUSDT,SHORT,76256.2,77388.7562121359,0.044728510672035086,77388.7562121359,73991.0875757282,50.657552621200004,-50.65755262,6.87231006,-57.52986268,LOSS,STOP_LOSS,10073.98066156
ETHUSDT,LONG,2307.61,2374.8713491943,1.4977369294896248,2273.97932540285,2374.8713491943,50.3699033078,100.73980662,7.01312524,93.72668138,WIN,TAKE_PROFIT,10167.70734294
BTCUSDT,LONG,78567.2,77751.64365173751,0.06233601985075571,77751.64365173751,80198.31269652497,50.838536714700005,-50.83853671,9.74429454,-60.58283126,LOSS,STOP_LOSS,10107.12451168
BTCUSDT,SHORT,77774.8,78284.89433370302,0.09907113100343205,78284.89433370302,76754.61133259397,50.5356225584,-50.53562256,15.46101042,-65.99663298,LOSS,STOP_LOSS,10041.1278787
ETHUSDT,SHORT,2327.23,2352.570691482922,1.9812261014004087,2352.570691482922,2276.548617034156,50.20563939349999,-50.20563939,9.27174328,-59.47738267,LOSS,STOP_LOSS,9981.65049603
BTCUSDT,LONG,78949.2,78397.40741635277,0.09044748689855049,78397.40741635277,80052.78516729445,49.90825248015,-49.90825248,14.23160521,-64.13985769,LOSS,STOP_LOSS,9917.51063834
ETHUSDT,SHORT,2322.11,2272.725557185827,2.0082256826624936,2346.8022214070866,2272.725557185827,49.587553191699996,99.17510638,9.22746677,89.94763961,WIN,TAKE_PROFIT,10007.45827795
ETHUSDT,SHORT,2272.44,2299.5803699611224,1.8436480954912124,2299.5803699611224,2218.1592600777553,50.037291389749996,-50.03729139,8.42919665,-58.46648804,LOSS,STOP_LOSS,9948.99178991
SOLUSDT,SHORT,103.05,101.45459063943375,62.36011920087294,103.84770468028313,101.45459063943375,49.74495894955,99.4899179,12.75293065,86.73698725,WIN,TAKE_PROFIT,10035.72877716
BTCUSDT,SHORT,77164.5,77701.4981390988,0.09344286363824403,77701.4981390988,76090.5037218024,50.1786438858,-50.17864389,14.47112235,-64.64976623,LOSS,STOP_LOSS,9971.07901093
BTCUSDT,SHORT,77700.0,76423.60269890104,0.07811892897568094,78338.19865054947,76423.60269890104,49.855395054649996,99.71079011,12.03997077,87.67081934,WIN,TAKE_PROFIT,10058.74983027
ETHUSDT,SHORT,2221.12,2151.5045080153595,1.4449010620350609,2255.92774599232,2151.5045080153595,50.29374915135,100.5874983,6.3180098,94.26948851,WIN,TAKE_PROFIT,10153.01931878
BTCUSDT,SHORT,74071.0,74931.32987607007,0.059006548541347834,74931.32987607007,72350.34024785987,50.765096593900005,-50.76509659,8.79211321,-59.5572098,LOSS,STOP_LOSS,10093.46210898
BTCUSDT,SHORT,74898.2,75957.86007237705,0.04762594331943675,75957.86007237705,72778.87985524588,50.46731054490001,-50.46731054,7.18466217,-57.65197271,LOSS,STOP_LOSS,10035.81013627
BTCUSDT,SHORT,75803.5,76780.4899114017,0.051360868823463586,76780.4899114017,73849.5201771966,50.179050681350006,-50.17905068,7.83684629,-58.01589697,LOSS,STOP_LOSS,9977.7942393
SOLUSDT,SHORT,98.7,96.03715279646767,37.47039719764683,100.03142360176618,96.03715279646767,49.88897119650001,99.77794239,7.29687846,92.48106393,WIN,TAKE_PROFIT,10070.27530323
BTCUSDT,SHORT,75785.0,76203.33682404779,0.1203608518823548,76203.33682404779,74948.32635190443,50.351376516150005,-50.35137652,18.2934457,-68.64482221,LOSS,STOP_LOSS,10001.63048102
SOLUSDT,SHORT,96.18,93.75911683923455,41.31397435082153,97.39044158038274,93.75911683923455,50.0081524051,100.01630481,7.8471398,92.16916501,WIN,TAKE_PROFIT,10093.79964603
BTCUSDT,SHORT,75313.9,74300.54513848676,0.09960774876983396,75820.57743075662,74300.54513848676,50.46899823015,100.93799646,14.90275806,86.0352384,WIN,TAKE_PROFIT,10179.83488443
BTCUSDT,SHORT,74328.9,75018.19829277415,0.07384201434374761,75018.19829277415,72950.30341445169,50.89917442215,-50.89917442,11.02809057,-61.927265,LOSS,STOP_LOSS,10117.90761943
BTCUSDT,SHORT,74821.5,73270.36745627657,0.06522916213944141,75597.06627186171,73270.36745627657,50.58953809715,101.17907619,9.65990843,91.51916776,WIN,TAKE_PROFIT,10209.42678719
BTCUSDT,SHORT,73074.7,74047.23725669397,0.05248861530454712,74047.23725669397,71129.62548661203,51.047133935949994,-51.04713394,7.72222677,-58.7693607,LOSS,STOP_LOSS,10150.65742649
BTCUSDT,SHORT,73961.9,71613.76559031205,0.043228604736638476,75135.96720484397,71613.76559031205,50.75328713245,101.50657426,6.29303291,95.21354136,WIN,TAKE_PROFIT,10245.87096785
BTCUSDT,SHORT,72294.3,70388.96118542063,0.05377453547605342,73246.96940728968,70388.96118542063,51.22935483925,102.45870968,7.67272609,94.78598359,WIN,TAKE_PROFIT,10340.65695144
ETHUSDT,SHORT,2093.48,2134.4980114803557,1.260501981719957,2134.4980114803557,2011.4439770392892,51.7032847572,-51.70328476,5.32937466,-57.03265942,LOSS,STOP_LOSS,10283.62429202
BTCUSDT,SHORT,71327.4,69886.4790035996,0.07136841171521399,72047.8604982002,69886.4790035996,51.418121460100004,102.83624292,10.07821026,92.75803266,WIN,TAKE_PROFIT,10376.38232468
BTCUSDT,SHORT,70445.4,68801.8095096264,0.06313240667583479,71267.19524518678,68801.8095096264,51.8819116234,103.76382325,8.79101146,94.97281179,WIN,TAKE_PROFIT,10471.35513647
BTCUSDT,SHORT,67963.4,65837.8419005259,0.0492640268880952,69026.17904973704,65837.8419005259,52.35677568235,104.71355136,6.59158798,98.12196339,WIN,TAKE_PROFIT,10569.47709986
ETHUSDT,SHORT,1935.63,1829.740519400845,0.9981611997768476,1988.5747402995778,1829.740519400845,52.847385499299996,105.694771,3.75844676,101.93632424,WIN,TAKE_PROFIT,10671.4134241
SOLUSDT,SHORT,78.77,81.26647738060616,21.372942344682727,81.26647738060616,73.77704523878768,53.3570671205,-53.35706712,3.4204504,-56.77751752,LOSS,STOP_LOSS,10614.63590658
BTCUSDT,SHORT,64536.3,61388.58936911531,0.0337217652805546,66110.15531544235,61388.58936911531,53.07317953289999,106.14635907,4.24640956,101.8999495,WIN,TAKE_PROFIT,10716.53585608
BTCUSDT,SHORT,60199.1,61940.65369024231,0.030767170475774788,61940.65369024231,56715.99261951537,53.5826792804,-53.58267928,3.75789462,-57.3405739,LOSS,STOP_LOSS,10659.19528218
BTCUSDT,SHORT,62915.8,64838.80573291302,0.027714933709618188,64838.80573291302,59069.78853417397,53.295976410899996,-53.29597641,3.54071043,-56.83668684,LOSS,STOP_LOSS,10602.35859534
SOLUSDT,SHORT,76.42,80.2079840417652,13.994724474075824,80.2079840417652,68.84403191646962,53.01179297669999,-53.01179298,2.19196548,-55.20375846,LOSS,STOP_LOSS,10547.15483688
SOLUSDT,SHORT,77.94,81.44339929240044,15.052744429901004,81.44339929240044,70.9332014151991,52.735774184399986,-52.73577418,2.39915758,-55.13493176,LOSS,STOP_LOSS,10492.01990512
BTCUSDT,SHORT,65034.4,66257.85579685326,0.04287862271814646,66257.85579685326,62587.48840629349,52.460099525599986,-52.46009953,5.6296311,-58.08973063,LOSS,STOP_LOSS,10433.93017449
BTCUSDT,LONG,66270.9,67801.91863214955,0.06815024948351388,65505.390683925216,67801.91863214955,52.16965087244999,104.33930174,9.13709604,95.20220571,WIN,TAKE_PROFIT,10529.1323802
ETHUSDT,LONG,1971.92,2034.1434808902418,1.692147759906382,1940.8082595548792,2034.1434808902418,52.645661901,105.2913238,6.77885135,98.51247246,WIN,TAKE_PROFIT,10627.64485266
ETHUSDT,LONG,2067.5,2031.6495721445685,1.4822200861195374,2031.6495721445685,2139.200855710863,53.13822426329999,-53.13822426,6.07584183,-59.2140661,LOSS,STOP_LOSS,10568.43078656
BTCUSDT,SHORT,67977.3,68840.35799093678,0.061226655088893585,68840.35799093678,66251.18401812643,52.842153932799995,-52.84215393,8.37688756,-61.21904149,LOSS,STOP_LOSS,10507.21174507
ETHUSDT,SHORT,2029.48,2054.1682670591645,2.127976767241267,2054.1682670591645,1980.103465881671,52.536058725349996,-52.53605873,8.68990864,-61.22596736,LOSS,STOP_LOSS,10445.98577771
ETHUSDT,LONG,2055.9,2129.9194648051566,1.4112484878413103,2018.8902675974218,2129.9194648051566,52.22992888854999,104.45985778,5.90723139,98.55262639,WIN,TAKE_PROFIT,10544.5384041
ETHUSDT,LONG,2122.9,2102.2431069255194,2.552305026240017,2102.2431069255194,2164.213786148962,52.72269202049999,-52.72269202,10.78385399,-63.50654601,LOSS,STOP_LOSS,10481.03185809
SOLUSDT,SHORT,86.14,87.08822254596942,55.266729854934425,87.08822254596942,84.24355490806116,52.405159290449994,-52.40515929,9.57375738,-61.97891667,LOSS,STOP_LOSS,10419.05294142
BTCUSDT,LONG,71270.0,70760.95412335162,0.1023390368076484,70760.95412335162,72288.09175329676,52.09526470709999,-52.09526471,14.53531104,-66.63057575,LOSS,STOP_LOSS,10352.42236567
SOLUSDT,SHORT,86.84,87.72759310724308,58.3173882333617,87.72759310724308,85.06481378551386,51.76211182835,-51.76211183,10.1803261,-61.94243793,LOSS,STOP_LOSS,10290.47992774
BTCUSDT,LONG,71320.9,70764.2839589916,0.09243786712557958,70764.2839589916,72434.13208201677,51.4523996387,-51.45239964,13.13405136,-64.58645099,LOSS,STOP_LOSS,10225.89347675
SOLUSDT,SHORT,86.58,87.67302670770339,46.77787562133816,87.67302670770339,84.39394658459321,51.12946738375,-51.12946738,8.15118641,-59.28065379,LOSS,STOP_LOSS,10166.61282296
